ExternalID,Name,CategoryExternalId,ProductPageUrl,ImageUrl,EAN,ManufacturerPartNumber,UPC,ISBN
0 73796267100,Omron 3 Series Upper Arm Blood Pressure Monitor,blood-pressure-monitors,http://omronhealthcare.com/products/3-series-upper-arm-blood-pressure-monitor-bp710/,http://omronhealthcare.com/wp-content/uploads/bp710-front-200x115.jpg,,BP710,0 73796267100,
0 73796267421,Omron 5 Series Upper Arm Blood Pressure Monitor,blood-pressure-monitors,http://omronhealthcare.com/products/5-series-upper-arm-blood-pressure-monitor-bp742/,http://omronhealthcare.com/wp-content/uploads/bp742-front-200x115.jpg,,BP742,0 73796267421,
0 73796267605,Omron 7 Series Upper Arm Blood Pressure Monitor,blood-pressure-monitors,http://omronhealthcare.com/products/7-series-upper-arm-blood-pressure-monitor-bp760/,http://omronhealthcare.com/wp-content/uploads/bp760-front-200x115.jpg,,BP760,0 73796267605,
0 73796267858,Omron 10 Series Upper Arm Blood Pressure Monitor,blood-pressure-monitors,http://omronhealthcare.com/products/10-series-upper-arm-blood-pressure-monitor-bp785/,http://omronhealthcare.com/wp-content/uploads/bp785-front-200x115.jpg,,BP785,0 73796267858,
0 73796791926,Omron 10+ Series Upper Arm Blood Pressure Monitor,blood-pressure-monitors,http://omronhealthcare.com/products/10-series-plus-upper-arm-blood-pressure-monitor-bp791it/,http://omronhealthcare.com/wp-content/uploads/bp791it-front-200x115.jpg,,BP791IT,0 73796791926,
0 73796266295,Omron 3 Series Wrist Blood Pressure Monitor,blood-pressure-monitors,http://omronhealthcare.com/products/3-series-wrist-blood-pressure-monitor-bp629/,http://omronhealthcare.com/wp-content/uploads/bp629-front-200x115.jpg,,BP629,0 73796266295,
0 73796266523,Omron 7 Series Wrist Blood Pressure Monitor,blood-pressure-monitors,http://omronhealthcare.com/products/7-series-wrist-blood-pressure-monitor-bp652/,http://omronhealthcare.com/wp-content/uploads/bp652-front-200x115.jpg,,BP652,0 73796266523,
0 73796271046,Omron 3 Series Upper Arm Blood Pressure Monitor,blood-pressure-monitors,http://omronhealthcare.com/products/3-series-upper-arm-blood-pressure-monitor-bp710n/,http://omronhealthcare.com/wp-content/uploads/bp710n-front-200x115.jpg,,BP710N,0 73796271046,
0 73796274245,Omron 5 Series Upper Arm Blood Pressure Monitor,blood-pressure-monitors,http://omronhealthcare.com/products/5-series-upper-arm-blood-pressure-monitor-bp742n/,http://omronhealthcare.com/wp-content/uploads/bp742n-angle-200x115.jpg,,BP742N,0 73796274245,
0 73796276041,Omron 7 Series Upper Arm Blood Pressure Monitor,blood-pressure-monitors,http://omronhealthcare.com/products/7-series-upper-arm-blood-pressure-monitor-bp760n/,http://omronhealthcare.com/wp-content/uploads/bp760n-angle-200x115.jpg,,BP760N,0 73796276041,
0 73796278540,Omron 10 Series Upper Arm Blood Pressure Monitor,blood-pressure-monitors,http://omronhealthcare.com/products/10-series-upper-arm-blood-pressure-monitor-bp785n/,http://omronhealthcare.com/wp-content/uploads/bp761-angle-200x115.jpg,,BP785N,0 73796278540,
0 73796267612,Omron 7 Series Connected Upper Arm Blood Pressure Monitor,blood-pressure-monitors,http://omronhealthcare.com/products/7-series-upper-arm-blood-pressure-monitor-plus-bluetooth-smart-bp761/,http://omronhealthcare.com/wp-content/uploads/bp785n-front-200x115.jpg,,BP761,0 73796267612,
0 73796267865,Omron 10 Series Connected Upper Arm Blood Pressure Monitor,blood-pressure-monitors,http://omronhealthcare.com/products/10-series-upper-arm-blood-pressure-monitor-plus-bluetooth-smart-bp786/,http://omronhealthcare.com/wp-content/uploads/bp786-angle-200x115.jpg,,BP786,0 73796267865,
0 73796633035,Omron electroTHERAPY TENS Pain Relief Unit,electrotherapy-tens-units,http://omronhealthcare.com/products/electrotherapy-tens-pain-relief-unit-pm3030/,http://omronhealthcare.com/wp-content/uploads/pm3030-front-200x115.jpg,,PM3030,0 73796633035,
